"Playlist URL","https://www.youtube.com/playlist?list=PLDKhPq_cLoCQ"
"Playlist title","ALL"
"Playlist author","Tony Noga"
"Videos","1386"

"Video ID","Title","Channel","Added At","Published At","Duration","Thumbnail URL"
"iD0ZM5KvBCM","Vamo a Darle","Johnny Prez - Topic","2026-09-23","2021-08-02","3:02","https://i.ytimg.com/vi/iD0ZM5KvBCM/hqdefault.jpg"
"xEwWkU_fW18","El Muro","Daddy Yankee - Topic","2026-09-23","2025-01-07","3:00","https://i.ytimg.com/vi/xEwWkU_fW18/hqdefault.jpg"
"b1AgcWJW3a4","Presión (Album Version)","Wisin & Yandel - Topic","2026-09-23","2024-07-11","3:04","https://i.ytimg.com/vi/b1AgcWJW3a4/hqdefault.jpg"
"-d_s2Na95g0","Buscame Yal","Cheka - Topic","2026-09-23","2014-11-08","4:08","https://i.ytimg.com/vi/-d_s2Na95g0/hqdefault.jpg"
"c5-f6QUfb7w","2 Mujeres","Daddy Yankee - Topic","2026-09-23","2025-01-07","3:10","https://i.ytimg.com/vi/c5-f6QUfb7w/hqdefault.jpg"
"BxfXlTqV1Sc","Fichureo (feat. Guelo Star)","Maximan - Topic","2026-09-23","2014-11-20","3:34","https://i.ytimg.com/vi/BxfXlTqV1Sc/hqdefault.jpg"
"JGAWj55X1lA","Loba","Dj Frank - Topic","2026-09-23","2021-04-23","3:01","https://i.ytimg.com/vi/JGAWj55X1lA/hqdefault.jpg"
"U2oISTgxBnY","Desafío Remix","Release - Topic","2026-09-23","2019-09-17","3:56","https://i.ytimg.com/vi/U2oISTgxBnY/hqdefault.jpg"
"H2u2dMYKUDE","Tocarte","Plan B - Topic","2026-09-23","2020-04-08","2:25","https://i.ytimg.com/vi/H2u2dMYKUDE/hqdefault.jpg"
"QMHoSbxA0vU","Gata Pshyco","Wibal Y Alex - Topic","2026-09-23","2019-09-13","2:52","https://i.ytimg.com/vi/QMHoSbxA0vU/hqdefault.jpg"
"e9NRG8NDyMk","Llamé Pa' Verte (Bailando Sexy)","Wisin & Yandel - Topic","2026-09-23","2019-12-05","3:15","https://i.ytimg.com/vi/e9NRG8NDyMk/hqdefault.jpg"
"3FzLe5JnVoM","Acorralala","Don Omar - Topic","2026-09-23","2020-07-08","3:30","https://i.ytimg.com/vi/3FzLe5JnVoM/hqdefault.jpg"
"erZLM82Ddbk","Golpe de Estado","Daddy Yankee - Topic","2026-09-23","2025-01-07","3:07","https://i.ytimg.com/vi/erZLM82Ddbk/hqdefault.jpg"
"Q05gac1bRsg","Manigueta","Wisin & Yandel - Topic","2026-09-23","2019-12-05","2:48","https://i.ytimg.com/vi/Q05gac1bRsg/hqdefault.jpg"
"CQwssiMzQ7w","Las Guanabanas: Vamo Pa' La Disco","Dj Nelson - Topic","2026-09-23","2020-04-08","2:18","https://i.ytimg.com/vi/CQwssiMzQ7w/hqdefault.jpg"
"0YVHnPGeN_k","En la Disco Bailoteo","Wisin & Yandel - Topic","2026-09-23","2021-06-17","2:47","https://i.ytimg.com/vi/0YVHnPGeN_k/hqdefault.jpg"
"cMIb19OYT7M","Miralos","Don Omar - Topic","2026-09-23","2021-06-17","3:12","https://i.ytimg.com/vi/cMIb19OYT7M/hqdefault.jpg"
"H1ORskgFUGg","Se activaron los anormales (feat. Daddy Yankee)","Divino - Topic","2026-09-23","2026-03-18","3:14","https://i.ytimg.com/vi/H1ORskgFUGg/hqdefault.jpg"
"s5KhiZjFhAw","Dejala","Don Omar - Topic","2026-09-23","2021-08-02","2:09","https://i.ytimg.com/vi/s5KhiZjFhAw/hqdefault.jpg"
"mPOKvZ7yJac","Baila Morena (with Luny Tunes, Noriega)","Luny Tunes - Topic","2026-09-23","2020-04-04","3:08","https://i.ytimg.com/vi/mPOKvZ7yJac/hqdefault.jpg"
"nG2VL7eHyIM","A Romper La Disco feat. Daddy Yankee","Tommy Viera - Topic","2026-09-23","2019-09-13","2:49","https://i.ytimg.com/vi/nG2VL7eHyIM/hqdefault.jpg"
"sglnTt-b4Ik","No Pierdas Tiempo feat. Tony Dize","Wisin & Yandel - Topic","2026-09-23","2020-07-27","2:36","https://i.ytimg.com/vi/sglnTt-b4Ik/hqdefault.jpg"
"ybmmqpKoHhY","Bailando (feat. Nina Sky)","Yaga & Mackie - Topic","2026-09-23","2020-06-12","3:11","https://i.ytimg.com/vi/ybmmqpKoHhY/hqdefault.jpg"
"0P34BLpkr68","Ring Ring","Reba McEntire - Topic","2026-09-23","2026-07-23","3:28","https://i.ytimg.com/vi/0P34BLpkr68/hqdefault.jpg"
"SBDTLgASPEM","Eso Ehh..!!!","Alexis Y Fido - Topic","2026-09-23","2015-10-16","3:16","https://i.ytimg.com/vi/SBDTLgASPEM/hqdefault.jpg"
"dk0kAlqlUYw","Caserios #2","Don Omar - Topic","2026-09-23","2018-07-29","4:06","https://i.ytimg.com/vi/dk0kAlqlUYw/hqdefault.jpg"
"r0NlLD9ifXo","King Daddy","Daddy Yankee - Topic","2026-09-23","2025-01-07","2:32","https://i.ytimg.com/vi/r0NlLD9ifXo/hqdefault.jpg"
"EQMxdWkFDN0","Buscando Placer","Nicky Jam - Topic","2026-09-23","2020-07-27","2:04","https://i.ytimg.com/vi/EQMxdWkFDN0/hqdefault.jpg"
"BEdxaBApBNs","Pasto Y Pelea","Don Omar - Topic","2026-09-23","2020-07-27","2:52","https://i.ytimg.com/vi/BEdxaBApBNs/hqdefault.jpg"
"Dk_KjCA2LUI","Intocable","Don Omar - Topic","2026-09-23","2018-07-29","2:47","https://i.ytimg.com/vi/Dk_KjCA2LUI/hqdefault.jpg"
"VovMkeIvxs8","Tumbando Fronte","Alberto Stylee - Topic","2026-09-23","2015-02-21","2:52","https://i.ytimg.com/vi/VovMkeIvxs8/hqdefault.jpg"
"v7a-8MnYeC0","Aventura","Luny Tunes - Topic","2026-09-23","2018-05-09","2:51","https://i.ytimg.com/vi/v7a-8MnYeC0/hqdefault.jpg"
"XydOalMA1Ks","Wisin Matalos","Wisin - Topic","2026-09-23","2023-10-12","2:43","https://i.ytimg.com/vi/XydOalMA1Ks/hqdefault.jpg"
"z3J1BL35xRI","La Noche Esta Buena","Don Omar - Topic","2026-09-23","2018-07-29","2:25","https://i.ytimg.com/vi/z3J1BL35xRI/hqdefault.jpg"
"v4OA5DjtZQk","Provócandome","Don Omar - Topic","2026-09-23","2018-07-29","2:13","https://i.ytimg.com/vi/v4OA5DjtZQk/hqdefault.jpg"
"8yLYJvbU8XI","Desafio (Intro)","Don Omar - Topic","2026-09-23","2021-06-17","3:56","https://i.ytimg.com/vi/8yLYJvbU8XI/hqdefault.jpg"
"pGs2rETnzoE","Entre Tu y Yo","Don Omar - Topic","2026-09-23","2018-05-03","3:05","https://i.ytimg.com/vi/pGs2rETnzoE/hqdefault.jpg"
"l9IeEstdAoQ","Baila Morena","Don Omar - Topic","2026-09-23","2018-05-10","2:55","https://i.ytimg.com/vi/l9IeEstdAoQ/hqdefault.jpg"
"sIwkVTHFb64","Zumba","Don Omar - Topic","2026-09-23","2019-07-18","4:24","https://i.ytimg.com/vi/sIwkVTHFb64/hqdefault.jpg"
"qdGvQweTghA","Danzar Kuduro (feat. Lucenzo)","Don Omar - Topic","2026-09-23","2020-06-04","3:15","https://i.ytimg.com/vi/qdGvQweTghA/hqdefault.jpg"
"b5lTYJF4ZhE","Te Quiero Pa´Mi","Don Omar - Topic","2026-09-23","2018-07-31","3:32","https://i.ytimg.com/vi/b5lTYJF4ZhE/hqdefault.jpg"
"aEn2XEmlQWc","Copped And Dropped","The Comrads - Topic","2026-09-23","2016-03-24","3:25","https://i.ytimg.com/vi/aEn2XEmlQWc/hqdefault.jpg"
"A3eygEwNuAE","Dem Comrads","The Comrads - Topic","2026-09-23","2016-03-24","4:17","https://i.ytimg.com/vi/A3eygEwNuAE/hqdefault.jpg"
"bMJL9WdUCzo","Bustas","The Comrads - Topic","2026-09-23","2017-02-18","3:23","https://i.ytimg.com/vi/bMJL9WdUCzo/hqdefault.jpg"
"XHAxIwgQS0U","Streets Is Talking","The Comrads - Topic","2026-09-23","2016-03-24","4:17","https://i.ytimg.com/vi/XHAxIwgQS0U/hqdefault.jpg"
